career_id,interest_id
1,1
1,3
1,4
2,1
2,2
2,3
3,3
3,4
4,3
4,35
5,3
6,14
6,15
6,12
7,14
8,14
9,40
10,24
11,24
12,18
12,19
13,45
13,10
14,37
14,38
15,41
16,27
16,28
17,28
18,45
18,10
19,19
20,25
21,20
22,23
23,23
24,23
25,22
26,47
27,20
28,23
29,14
30,16
31,17
32,20
33,18
34,18
35,18
36,18
37,25
38,15
39,48
40,21
41,24
42,24
43,30
44,5
44,8
45,10
45,8
46,9
47,34
48,34
49,35
50,24
51,14
52,39
53,20
54,47
55,14
56,42
57,29
58,15
59,20
60,39
61,7
62,17
63,22
64,20
65,31
66,20
67,47
68,32
69,41
70,41
71,41
72,41
73,41
74,41
75,15
76,35
77,27
78,27
79,20
80,20
81,30
82,35
83,36
84,48
85,26
86,24
87,10
88,10
89,32
90,24
91,31
92,24
93,2
94,33
95,20
96,5
97,6
98,4
99,37
100,8
101,25
102,37
103,20
